sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="0012",="30","AF Azevedos, Ferramentas, Lda.","2023","3414,31","422,44","214,96","38","209","0","1153,68","254,13","285,9","0","422,8","413,4","0"
="0046",="06","Alberto Azevedo Mecânica Precisão, Lda.","2023","514,35","0","42,65","0","0","106,8","139","0","20","25,9","180","0","0"
="0097",="05","António Marques Rodrigues, SA","2023","13208,1","1040,89","931,2","1872,67","624,22","1658,8","665,42","759,83","0","642,4","2587,05","1436,4","989,22"
="0120",="06","Fausto Oliveira Costa","2023","170,43","0","0","115,23","0","0","55,2","0","0","0","0","0","0"
="0128",="06","AAPICO MAIA S.A.","2023","35888,44","0","318,5","1624,5","4940,1","8433,36","2591,4","3159,6","3423,24","3249","0","7098,74","1050"
="0362",="06","Sanefil Indústria Electro-Erosão, Lda.","2023","32,9","0","0","0","0","32,9","0","0","0","0","0","0","0"
="0382",="30","Kirchhoff Automotive Portugal S.A.","2023","1049,76","0","0","156,6","0","579,96","0","0","0","156,6","0","52,2","104,4"
="0391",="08","Hidrocentro Óleo Hidraulica Met. Centro, Lda.","2023","2548,99","67,8","197,5","0","0","1038,83","0","396,8","120,5","248","0","0","479,56"
="0531",="11","MF Marques Santos Comércio Máq. Ferramentas, SA.","2023","138,4","0","0","0","0","18,72","79,68","0","0","0","40","0","0"
="0539",="11","Mafepre Material Ferramentas Precisão, Lda.","2023","238,68","25,11","43,29","68,4","0","0","0","0","0","0","28,35","73,53","0"
="0556",="30","Cruz Ferramentas Moldes, Lda.","2023","453,6","408","45,6","0","0","0","0","0","0","0","0","0","0"
="0586",="12","Metalúrgica José A. Simões & Simões, Lda.","2023","1883,67","0","0","0","0","0","541,18","454,8","33,4","123,9","0","730,39","0"
="0668",="06","ATREL REPARADORA AGRO TECNICA LDA","2023","788,2","0","0","0","0","0","604,6","61,6","0","0","0","0","122"
="0203",="12","Peugeot Citroën Automóveis Portugal, SA","2023","202,5","0","0","67,5","0","0","0","0","0","67,5","0","0","67,5"
="0315",="30","Jocar Fábrica Máq. José Oliveira Carlos & Fºs.,Lda","2023","5804,65","80,05","3025,77","109,35","263,73","97,6","50","45,94","0","116,4","0","47,81","1968"
="0408",="30","Henrique Vieira & Filhos, SA.","2023","2026,42","0","57,7","275,5","168,68","163,16","244,73","0","346,55","241,4","257,2","271,5","0"
="0421",="06","AM Azevedo & Martins, Lda.","2023","1476,55","0","434,2","0","27,75","791","0","223,6","0","0","0","0","0"
="0429",="12","Viúva Rafael Nunes, Herdeiros, Lda.","2023","913,21","0","0","0","641,11","23,6","0","0","248,5","0","0","0","0"
="0444",="15","Irmãos Sás, Lda.","2023","53,91","0","0","0","0","0","53,91","0","0","0","0","0","0"
="0495",="30","Pinto Teixeira Indústria Metalomecânica, Lda.","2023","233,2","0","135,9","22,3","0","30,3","44,7","0","0","0","0","0","0"
="0597",="06","Eduardo, Luís & Germano, Lda.","2023","654,71","0","0","0","0","529,81","0","124,9","0","0","0","0","0"
="0655",="30","Manitowoc Crane Group Portugal, Lda","2023","1181,4","0","0","0","0","0","0","0","0","0","0","1181,4","0"
="0720",="05","Ecofloc Metalomecânica Equipamentos Ambientais,Lda","2023","567","567","0","0","0","0","0","0","0","0","0","0","0"
="0723",="11","Resende & Tavares, Lda.","2023","43,9","0","0","0","0","0","0","0","0","0","43,9","0","0"
="0820",="06","Skelt Metalomecânica, SA","2023","3932,76","267,1","128,8","146,4","1784,98","158,1","241,4","213,7","231,38","376,5","277,7","0","106,7"
="1007",="08","Gosimac Maquinações, Lda.","2023","280,8","0","0","0","0","0","0","280,8","0","0","0","0","0"
="1058",="30","Quantal Laser Tecnologia, SA.","2023","682,8","0","0","0","0","0","0","0","61,9","102,9","518","0","0"
="1141",="11","FAGIR de SCPG, S.A.","2023","462,3","0","86,82","54,88","0","196,18","0","0","0","0","0","124,42","0"
="1175",="06","Silva & Lima, Lda.","2023","1113,79","0","381,9","112,2","100","0","227,72","108","0","0","0","183,97","0"
="1191",="05","Mazeve Serralharia Mecânica Geral, Lda.","2023","910,8","0","0","0","0","0","0","0","462,5","385","63,3","0","0"
="1200",="30","Famikron Fab. Cortantes, Moldes Peças Precisão, SA","2023","4744,36","2504,2","0","0","143,3","0","512,5","665,76","0","203,8","0","461","253,8"
="1394",="08","AFR Moldes Fabricação Moldes P/Plásticos, Lda.","2023","1015,1","0","245,8","121,92","0","141,84","0","51,4","145,64","84,1","146,4","60,9","17,1"
="1441",="08","Adelino G Feijoeiro, Unip., Lda.","2023","373,2","0","373,2","0","0","0","0","0","0","0","0","0","0"
="1470",="06","Júlio Nogueira Rodrigues & Cª., Lda.","2023","1812,54","0","259,1","0","0","0","0","0","0","323,2","1146,15","84,09","0"
="1731",="12","Vitor Santiago, Lda.","2023","658,36","0","0","270,98","0","0","21,6","191,53","0","0","174,25","0","0"
="1820",="06","Serventar Serviços, Ventilação Trat. Ar, Lda.","2023","1189,58","282,3","0","0","0","0","0","0","0","468,08","0","234","205,2"
="1826",="08","Metalúrgica António Azevedo, Lda.","2023","2114,39","0","0","734,11","0","289,98","230","0","0","97,5","0","762,8","0"
="1870",="06","Metalúrgica Campos & Medeiros,Lda.","2023","222,7","0","0","0","0","0","0","0","0","0","222,7","0","0"
="1927",="08","Poço - Equipamentos Industriais, SA.","2023","386","0","0","386","0","0","0","0","0","0","0","0","0"
="0042",="06","Metromolde Tecnologia Moldes, Lda.","2023","1267,17","0","70,11","937,06","0","0","260","0","0","0","0","0","0"
="0153",="05","Famil Fábrica Moldes P/Injecção, SA","2023","30605,62","3194,5","3201,06","1046,16","2604,01","1559,45","1874,07","3732,39","4154,76","2726,28","2041,78","2863,26","1607,9"
="0259",="11","Elax Comércio Auto Equipamentos Industriais, Lda.","2023","921,32","56,98","0","63,54","68,64","0","52,48","0","0","272,88","373,04","0","33,76"
