sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="0002",="06","A Brito Ind. Portuguesa Engrenagens, SA.","2022","10096,41","460,82","259,2","1357,5","437,1","2282,39","852,8","1558,3","400,3","525,8","516,6","1261,6","184"
="0070",="30","Ansirol Estudo Construção Equip. Industriais, Lda","2022","81,65","53,75","0","0","0","0","0","0","27,9","0","0","0","0"
="0078",="08","Maquinaço Serralharia Mecânica, Lda.","2022","2248,11","442,53","29,75","198,68","250,25","428","102","0","0","508,9","219","69","0"
="0103",="30","António Rocha & Cristiano Morgado, Lda.","2022","2763,2","145,7","467,8","252,6","361,9","343","0","228,5","61,9","799","-7,3","69","41,1"
="0202",="06","Centro Formação Profissional Ind. Fundição","2022","1119,5","0","0","48","0","279","367","0","0","0","0","60","365,5"
="0234",="06","Couto & Lopes, Lda.","2022","90,16","0","0","0","0","0","0","90,16","0","0","0","0","0"
="0243",="11","Depósito Amarelo Acessórios Industriais, Lda.","2022","433,85","0","0","0","0","0","173,99","42,56","0","217,3","0","0","0"
="0292",="13","António Ricardo Pires da Silva","2022","748,85","0","0","0","26,88","137,97","0","0","0","172,5","254","157,5","0"
="0359",="08","Afritools Serviços Tornearia Fresagem, Unip., Lda.","2022","137,7","0","0","0","0","0","0","0","0","0","0","137,7","0"
="0369",="30","Arcomoldes Fabrico de Moldes, Lda.","2022","65,02","0","15,05","0","0","0","49,97","0","0","0","0","0","0"
="0375",="11","Frezite Ferramentas Corte, SA.","2022","402,78","0","0","14,25","140,39","212,07","36,07","0","0","0","0","0","0"
="0381",="06","Fipla Fábrica Industrial Plásticos, Lda,","2022","142,48","0","181,5","-39,02","0","0","0","0","0","0","0","0","0"
="0542",="30","Magalhães & Irmãos, Unip., Lda.","2022","1213,2","267,5","0","0","45,86","466,8","193","0","0","0","0","72,4","167,64"
="0026",="30","Massil Metalúrgica M L Silva Fáb. Máq. Agric.,Lda.","2022","100","0","0","100","0","0","0","0","0","0","0","0","0"
="0038",="15","Águas Carvalhelhos, SA.","2022","89,5","0","0","0","0","0","0","0","0","0","89,5","0","0"
="0097",="05","António Marques Rodrigues, SA","2022","13848,04","893,29","1139,27","1064,2","1218,82","1082,22","435,9","2274,48","0","2647,8","659,73","615,5","1816,83"
="0153",="05","Famil Fábrica Moldes P/Injecção, SA","2022","26076,96","1182,02","2221,47","3302,81","6124,92","633,26","2339,91","1561,43","339,12","2051,2","1762,43","1821,69","2736,7"
